class,precision,recall,f1,support,dataset,seed
SqlInjection,0.0,0.0,0.0,11,CICIoT2023,0
Uploading_Attack,0.0,0.0,0.0,2,CICIoT2023,0
VulnerabilityScan,0.0,0.0,0.0,51,CICIoT2023,0
XSS,0.0,0.0,0.0,10,CICIoT2023,0
Backdoor_Malware,0.0,0.0,0.0,9,CICIoT2023,1
BenignTraffic,0.007853403141361256,0.0025073129962390303,0.003801076971808679,2393,CICIoT2023,1
BrowserHijacking,0.0,0.0,0.0,14,CICIoT2023,1
CommandInjection,0.0,0.0,0.0,7,CICIoT2023,1
DDoS-ACK_Fragmentation,0.7651006711409396,0.1975736568457539,0.3140495867768595,577,CICIoT2023,1
DDoS-HTTP_Flood,0.0,0.0,0.0,57,CICIoT2023,1
DDoS-ICMP_Flood,0.20422925558450197,0.9531755270986936,0.3363841782119462,15462,CICIoT2023,1
DDoS-ICMP_Fragmentation,0.0,0.0,0.0,965,CICIoT2023,1
DDoS-PSHACK_Flood,0.5322930212397052,0.4218964727439304,0.47070849038522966,8732,CICIoT2023,1
DDoS-RSTFINFlood,0.8298516500151377,0.32326925344969926,0.4652860295365812,8479,CICIoT2023,1
DDoS-SYN_Flood,0.25892857142857145,0.0033592030580331285,0.006632361349342482,8633,CICIoT2023,1
DDoS-SlowLoris,0.0,0.0,0.0,48,CICIoT2023,1
DDoS-SynonymousIP_Flood,0.8724917913170376,0.6109337080086856,0.7186537450229133,7829,CICIoT2023,1
DDoS-TCP_Flood,0.38922888616891066,0.06591356617266038,0.1127359744748737,9649,CICIoT2023,1
DDoS-UDP_Flood,0.0,0.0,0.0,11620,CICIoT2023,1
DDoS-UDP_Fragmentation,0.0,0.0,0.0,596,CICIoT2023,1
DNS_Spoofing,0.007121057985757884,0.0166270783847981,0.009971509971509971,421,CICIoT2023,1
DictionaryBruteForce,0.0,0.0,0.0,30,CICIoT2023,1
DoS-HTTP_Flood,0.0,0.0,0.0,148,CICIoT2023,1
DoS-SYN_Flood,0.649763353617309,0.45117370892018777,0.5325574951510114,4260,CICIoT2023,1
DoS-TCP_Flood,0.0,0.0,0.0,5731,CICIoT2023,1
