dataset,baseline,family,winner_score,baseline_score,outcome
UNSW-NB15,TCN,deep,0.6790266032408934,0.63929503931755,win
UNSW-NB15,TransformerEncoder,deep,0.6790266032408934,0.8379146183167885,loss
UNSW-NB15,FT-Transformer,deep,0.6790266032408934,0.6486561634645311,win
UNSW-NB15,GCN,graph,0.6790266032408934,0.8201126789473518,loss
UNSW-NB15,GraphSAGE,graph,0.6790266032408934,0.8098952073847472,loss
UNSW-NB15,GAT,graph,0.6790266032408934,0.8319143218783287,loss
UNSW-NB15,Protocol-role-GAT,graph,0.6790266032408934,0.8300465561606873,loss
UNSW-NB15,HypergraphNN,graph,0.6790266032408934,0.8476399574233819,loss
UNSW-NB15,DQN,rl,0.6790266032408934,0.526723348724073,win
UNSW-NB15,DoubleDQN,rl,0.6790266032408934,0.6465461973253618,win
UNSW-NB15,DuelingDQN,rl,0.6790266032408934,0.5596925471783791,win
UNSW-NB15,PPO,rl,0.6790266032408934,0.3898718730933496,win
UNSW-NB15,A2C,rl,0.6790266032408934,0.3898718730933496,win
UNSW-NB15,CQL_Offline,rl,0.6790266032408934,0.3898718730933496,win
UNSW-NB15,RandomAcquisition,rl,0.6790266032408934,0.5190470935922777,win
UNSW-NB15,GreedyUncertainty,rl,0.6790266032408934,0.7753809599626882,loss
UNSW-NB15,GreedyCentrality,rl,0.6790266032408934,0.7753809599626882,loss
UNSW-NB15,StaticThreshold,rl,0.6790266032408934,0.7753809599626882,loss
UNSW-NB15,OracleUpperBound,rl,0.6790266032408934,1.0,loss
UNSW-NB15,LogisticRegression,classical_tree,0.6790266032408934,0.7829085801229487,loss
UNSW-NB15,LinearSVM,classical_tree,0.6790266032408934,0.8820908631830966,loss
UNSW-NB15,GaussianNB,classical_tree,0.6790266032408934,0.7293033977125765,loss
UNSW-NB15,kNN,classical_tree,0.6790266032408934,0.9169585809235308,loss
UNSW-NB15,DecisionTree,classical_tree,0.6790266032408934,0.926134727062648,loss
UNSW-NB15,RandomForest,classical_tree,0.6790266032408934,0.9369087270717578,loss
UNSW-NB15,ExtraTrees,classical_tree,0.6790266032408934,0.9170530060440708,loss
UNSW-NB15,GradientBoosting,classical_tree,0.6790266032408934,0.93107858555495,loss
UNSW-NB15,HistGradientBoosting,classical_tree,0.6790266032408934,0.940078988984504,loss
UNSW-NB15,XGBoost,classical_tree,0.6790266032408934,0.9417583781268128,loss
UNSW-NB15,LightGBM,classical_tree,0.6790266032408934,0.9386457469855272,loss
UNSW-NB15,CatBoost,classical_tree,0.6790266032408934,0.9369440083524908,loss
UNSW-NB15,MLP,deep,0.6790266032408934,0.8732678725118697,loss
UNSW-NB15,1D-CNN,deep,0.6790266032408934,0.8188926404535236,loss
UNSW-NB15,LSTM,deep,0.6790266032408934,0.901708197014683,loss
UNSW-NB15,GRU,deep,0.6790266032408934,0.8947966090970996,loss
UNSW-NB15,CNN-LSTM,deep,0.6790266032408934,0.8623933913323525,loss
UNSW-NB15,CNN-BiLSTM,deep,0.6790266032408934,0.8789745462763172,loss
UNSW-NB15,TCN,deep,0.6790266032408934,0.6766522677061588,tie
UNSW-NB15,TransformerEncoder,deep,0.6790266032408934,0.8548010016173848,loss
UNSW-NB15,FT-Transformer,deep,0.6790266032408934,0.6517957313248691,win
UNSW-NB15,GCN,graph,0.6790266032408934,0.8093583439668706,loss
UNSW-NB15,GraphSAGE,graph,0.6790266032408934,0.8386004887391849,loss
UNSW-NB15,GAT,graph,0.6790266032408934,0.818356360026504,loss
UNSW-NB15,Protocol-role-GAT,graph,0.6790266032408934,0.8361858190364806,loss
UNSW-NB15,HypergraphNN,graph,0.6790266032408934,0.8411748125193849,loss
UNSW-NB15,DQN,rl,0.6790266032408934,0.7080108530484079,loss
UNSW-NB15,DoubleDQN,rl,0.6790266032408934,0.4916791959866813,win
UNSW-NB15,DuelingDQN,rl,0.6790266032408934,0.3956411082842877,win
UNSW-NB15,PPO,rl,0.6790266032408934,0.3954883791584384,win
UNSW-NB15,A2C,rl,0.6790266032408934,0.3900207392948639,win
UNSW-NB15,CQL_Offline,rl,0.6790266032408934,0.3900207392948639,win
UNSW-NB15,RandomAcquisition,rl,0.6790266032408934,0.5246036517285624,win
UNSW-NB15,GreedyUncertainty,rl,0.6790266032408934,0.7696532844308968,loss
UNSW-NB15,GreedyCentrality,rl,0.6790266032408934,0.7696532844308968,loss
UNSW-NB15,StaticThreshold,rl,0.6790266032408934,0.7696532844308968,loss
UNSW-NB15,OracleUpperBound,rl,0.6790266032408934,1.0,loss
UNSW-NB15,LogisticRegression,classical_tree,0.6790266032408934,0.773840818868575,loss
UNSW-NB15,LinearSVM,classical_tree,0.6790266032408934,0.878572378738658,loss
UNSW-NB15,GaussianNB,classical_tree,0.6790266032408934,0.7379792776494977,loss
UNSW-NB15,kNN,classical_tree,0.6790266032408934,0.9132659995271434,loss
UNSW-NB15,DecisionTree,classical_tree,0.6790266032408934,0.9288554207388782,loss
UNSW-NB15,RandomForest,classical_tree,0.6790266032408934,0.9331840837061812,loss
UNSW-NB15,ExtraTrees,classical_tree,0.6790266032408934,0.9165001844181812,loss
UNSW-NB15,GradientBoosting,classical_tree,0.6790266032408934,0.9299226708472764,loss
UNSW-NB15,HistGradientBoosting,classical_tree,0.6790266032408934,0.938992851401032,loss
UNSW-NB15,XGBoost,classical_tree,0.6790266032408934,0.9388680034286084,loss
UNSW-NB15,LightGBM,classical_tree,0.6790266032408934,0.9401063946311268,loss
UNSW-NB15,CatBoost,classical_tree,0.6790266032408934,0.936128800939492,loss
UNSW-NB15,MLP,deep,0.6790266032408934,0.883269268007828,loss
UNSW-NB15,1D-CNN,deep,0.6790266032408934,0.7778571478183843,loss
UNSW-NB15,LSTM,deep,0.6790266032408934,0.9082872353394472,loss
UNSW-NB15,GRU,deep,0.6790266032408934,0.8967225033098956,loss
UNSW-NB15,CNN-LSTM,deep,0.6790266032408934,0.8760746722825952,loss
UNSW-NB15,CNN-BiLSTM,deep,0.6790266032408934,0.8808497970127915,loss
UNSW-NB15,TCN,deep,0.6790266032408934,0.6626174747700164,win
UNSW-NB15,TransformerEncoder,deep,0.6790266032408934,0.8434541610697891,loss
UNSW-NB15,FT-Transformer,deep,0.6790266032408934,0.645819478482258,win
UNSW-NB15,GCN,graph,0.6790266032408934,0.8013029184742432,loss
UNSW-NB15,GraphSAGE,graph,0.6790266032408934,0.8509568127302272,loss
UNSW-NB15,GAT,graph,0.6790266032408934,0.8618040485577074,loss
UNSW-NB15,Protocol-role-GAT,graph,0.6790266032408934,0.8474889621821878,loss
UNSW-NB15,HypergraphNN,graph,0.6790266032408934,0.8370475451377948,loss
UNSW-NB15,DQN,rl,0.6790266032408934,0.6432222410157322,win
UNSW-NB15,DoubleDQN,rl,0.6790266032408934,0.4529211218060124,win
UNSW-NB15,DuelingDQN,rl,0.6790266032408934,0.7637120510272262,loss
UNSW-NB15,A2C,rl,0.6790266032408934,0.3901199430778613,win
UNSW-NB15,CQL_Offline,rl,0.6790266032408934,0.3901199430778613,win
UNSW-NB15,RandomAcquisition,rl,0.6790266032408934,0.5244593988561057,win
UNSW-NB15,GreedyUncertainty,rl,0.6790266032408934,0.7754384835036121,loss
UNSW-NB15,GreedyCentrality,rl,0.6790266032408934,0.7754384835036121,loss
UNSW-NB15,StaticThreshold,rl,0.6790266032408934,0.7754384835036121,loss
UNSW-NB15,OracleUpperBound,rl,0.6790266032408934,1.0,loss
