accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,n_params,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate
0.8436,0.8614947006440279,0.8386004887391849,0.8465201690773397,0.7973099781044729,0.9256794231835828,0.9500559075661572,0.074320576816417,0.202690021895527,0.9443509264545727,0.9688486876327436,GraphSAGE,graph,2.749420166015625,3.342278798421224e-06,1.083243,1,test,UNSW-NB15,8290.0,,,,,,,,
0.829,0.8256924229841331,0.818356360026504,0.8306151599078481,0.8375560421228235,0.8138288038454428,0.8886061946902655,0.1861711961545572,0.1624439578771765,0.8931137566013647,0.8804582981807996,GAT,graph,4.133125305175781,5.231030782063802e-06,0.879512,1,test,UNSW-NB15,8546.0,,,,,,,,
0.8448666666666667,0.8464836031052174,0.8361858190364806,0.8466993738553158,0.8406839745594828,0.8522832316509521,0.9098397652900022,0.1477167683490478,0.1593160254405171,0.9260997577784792,0.9500614814021427,Protocol-role-GAT,graph,5.941603183746338,6.326659520467122e-06,1.153212,1,test,UNSW-NB15,14050.0,,,,,,,,
0.8522666666666666,0.8442090138928429,0.8411748125193849,0.8528766626818299,0.873110207486185,0.8153078202995009,0.8934172623493012,0.1846921797004991,0.126889792513815,0.9212444363639042,0.9568809887820512,HypergraphNN,graph,3.86539888381958,5.381870269775391e-06,1.08723,1,test,UNSW-NB15,5922.0,,,,,,,,
0.7459028947771481,0.7027342550910538,0.7080108530484079,0.7281007238119024,0.9287551440329218,0.4767133661491859,0.7232124974964951,0.5232866338508141,0.0712448559670781,0.9061236391004156,0.9160536889803612,DQN,rl,,,,1,test,UNSW-NB15,,-8206.334062179616,-34.920570477360066,1.1931333333333334,6.421276595744681,0.0962666666666666,0.1404,0.4494,1.1964666666666666
0.7654100866021396,0.5297598454305763,0.4916791959866813,0.6803739369663065,0.9956021650879568,0.0639175257731958,0.7642170864710465,0.936082474226804,0.0043978349120433,0.7842208636171291,0.9158426589318114,DoubleDQN,rl,,,,1,test,UNSW-NB15,,7974.716858864377,33.93496535686969,0.0094666666666666,0.5276595744680851,0.1412666666666666,0.3029333333333333,0.0724666666666666,0.0018666666666666
0.6535304990757855,0.5002133105802048,0.3956411082842877,0.5167484181194801,1.0,0.0004266211604095,0.6534792575611921,0.9995733788395904,0.0,0.850360841748605,0.9025470190534428,DuelingDQN,rl,,,,1,test,UNSW-NB15,,4377.282067373253,18.62673220158831,0.0052,0.0340425531914893,0.0,0.0028666666666666,0.0703333333333333,0.0049333333333333
0.6542279180801608,0.5,0.3954883791584384,0.5174790778434448,1.0,0.0,0.6542279180801608,1.0,0.0,0.8520139411503299,0.9045056071462808,PPO,rl,,,,1,test,UNSW-NB15,,2312.8999999999974,9.842127659574455,0.0,0.0,0.0,0.5306,0.4694,0.0
0.6394,0.5,0.3900207392948639,0.498758521410272,1.0,0.0,0.6394,1.0,0.0,0.8605520512573036,0.903228396291466,A2C,rl,,,,1,test,UNSW-NB15,,4204.799999999994,17.892765957446784,0.0,0.0,0.0,0.0,0.0,0.0
0.6394,0.5,0.3900207392948639,0.498758521410272,1.0,0.0,0.6394,1.0,0.0,0.8605520512573036,0.903228396291466,CQL_Offline,rl,,,,1,test,UNSW-NB15,,4204.799999999994,17.892765957446784,0.0,0.0,0.0,0.0,0.0,0.0
0.569755882028057,0.524524752101749,0.5246036517285624,0.5664058778445461,0.6830525953936061,0.3659969088098918,0.6595850622406639,0.6340030911901082,0.3169474046063939,0.8530427607547435,0.9003242621257963,RandomAcquisition,rl,,,,1,test,UNSW-NB15,,-10928.338358940198,-46.50356748485191,0.8309333333333333,8.0,0.1837333333333333,0.1855333333333333,0.1895333333333333,0.803
0.8065333333333333,0.7535491103608469,0.7696532844308968,0.7953501129064032,0.943592951725576,0.5635052689961176,0.7930943826132679,0.4364947310038824,0.0564070482744239,0.8605520512573036,0.903228396291466,GreedyUncertainty,rl,,,,1,test,UNSW-NB15,,7108.884623321649,30.250572865198507,0.1253333333333333,8.0,0.0,0.0,0.0,0.0
0.8065333333333333,0.7535491103608469,0.7696532844308968,0.7953501129064032,0.943592951725576,0.5635052689961176,0.7930943826132679,0.4364947310038824,0.0564070482744239,0.8605520512573036,0.903228396291466,GreedyCentrality,rl,,,,1,test,UNSW-NB15,,6973.786875548801,29.67568883212256,0.1253333333333333,8.0,0.0,0.0,0.0,0.0
0.8065333333333333,0.7535491103608469,0.7696532844308968,0.7953501129064032,0.943592951725576,0.5635052689961176,0.7930943826132679,0.4364947310038824,0.0564070482744239,0.8605520512573036,0.903228396291466,StaticThreshold,rl,,,,1,test,UNSW-NB15,,7364.899999999998,31.33999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8605520512573036,0.903228396291466,OracleUpperBound,rl,,,,1,test,UNSW-NB15,,13940.999999999976,59.32340425531904,0.0,0.0,0.0,0.0,0.0,0.0
0.7921333333333334,0.7730063887152141,0.773840818868575,0.7918074469996902,0.841479937467431,0.7045328399629972,0.8348671285285907,0.2954671600370028,0.158520062532569,0.8780632161273482,0.9190781355204876,LogisticRegression,classical_tree,1.0908398628234863,2.700487772623698e-07,3.437375,2,test,UNSW-NB15,,,,,,,,,
0.8914666666666666,0.8681830605768596,0.878572378738658,0.8896253792334118,0.9515372589890568,0.7848288621646623,0.8870105897211698,0.2151711378353376,0.0484627410109432,0.9613296221291636,0.9740025207689752,LinearSVM,classical_tree,20.171815872192383,5.748112996419271e-07,27.797162,2,test,UNSW-NB15,,,,,,,,,
0.7424666666666667,0.7656529307441675,0.7379792776494977,0.7475575557859919,0.68264721208963,0.848658649398705,0.8889793702497285,0.1513413506012951,0.3173527879103699,0.8541725835274019,0.8991690457516417,GaussianNB,classical_tree,0.0303037166595459,5.829811096191406e-07,30.232091,2,test,UNSW-NB15,,,,,,,,,
0.9198666666666668,0.9141352433115651,0.9132659995271434,0.9199496136679368,0.9346534653465348,0.8936170212765957,0.9397464109818716,0.1063829787234042,0.0653465346534653,0.9804301885955672,0.987054800116427,kNN,classical_tree,0.0044896602630615,2.698623339335124e-05,6.511172,2,test,UNSW-NB15,,,,,,,,,
0.9328,0.940403260833411,0.9288554207388782,0.93353486216133,0.9131839499739448,0.967622571692877,0.980418484950207,0.032377428307123,0.0868160500260552,0.9808217932655529,0.985385968521169,DecisionTree,classical_tree,0.4878973960876465,1.3980865478515628e-07,16.316428,2,test,UNSW-NB15,,,,,,,,,
0.9375333333333332,0.9395787005547042,0.9331840837061812,0.9379458699454724,0.93225638353309,0.9469010175763182,0.9689124783362218,0.0530989824236817,0.0677436164669098,0.990286000214998,0.9946794547268408,RandomForest,classical_tree,1.7109014987945557,7.262214024861653e-06,211.353034,2,test,UNSW-NB15,,,,,,,,,
0.9225333333333332,0.9191686041382754,0.9165001844181812,0.9227697513711792,0.931214174048984,0.907123034227567,0.946805128748543,0.0928769657724329,0.0687858259510161,0.9830726765163978,0.9904871367977628,ExtraTrees,classical_tree,1.0851044654846191,7.224718729654948e-06,188.833239,2,test,UNSW-NB15,,,,,,,,,
0.9353333333333332,0.930304916172517,0.9299226708472764,0.9353618924923288,0.9483064095883272,0.9123034227567068,0.9504857411469758,0.0876965772432932,0.0516935904116727,0.9879017411454374,0.993298498549579,GradientBoosting,classical_tree,31.577120780944824,1.2882232666015625e-06,19.178601,2,test,UNSW-NB15,,,,,,,,,
0.9434666666666668,0.9412675909004796,0.938992851401032,0.9436076436125064,0.9491401771756124,0.9333950046253467,0.9619731699588042,0.0666049953746531,0.0508598228243877,0.9906364082048208,0.9948745684691224,HistGradientBoosting,classical_tree,2.1327712535858154,1.929537455240885e-06,62.150364,2,test,UNSW-NB15,,,,,,,,,
