dataset,seed,mode,split,reward_weights,accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
ToN-IoT-Network,2,Mode1_CommonDefaultReward,test,None,0.9982094897045658,0.9970072970116999,0.9976045307323839,0.9982084119866819,0.9994038155802861,0.9946107784431137,0.9982135768161969,0.005389221556886228,0.0005961844197138314,0.9999478784878573,0.9999823770668841,10961.140000000014,93.68495726495739,0.0,0.0,0.0,0.0,0.10413046384173238,0.0,0.0004010159069643096,0.8958695361582676
ToN-IoT-Network,2,Mode2_ValidationTunedReward,val,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9967293540474244,0.9951884418010957,0.9953931077635887,0.9967286778094264,0.9980510276399717,0.9923258559622196,0.9976974849450939,0.007674144037780401,0.0019489723600283487,0.9998615198344597,0.9999569935528949,12205.720000000021,106.1366956521741,0.0,0.0,0.0,0.0,0.0,0.0,0.0010902153175252113,1.0
ToN-IoT-Network,2,Mode2_ValidationTunedReward,test,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9982622644031547,0.9967548332369432,0.9974951424648186,0.9982609673370754,0.9994833821250215,0.994026284348865,0.99828001375989,0.005973715651135006,0.0005166178749784743,0.9999493874961192,0.9999851496697295,12588.040000000019,107.59008547008564,0.0,0.0,0.0,0.0,0.0,0.0,0.0004010159069643096,1.0
CICIoT2023,0,Mode1_CommonDefaultReward,val,None,0.9950376180566672,0.9739011916719476,0.9474465971892511,0.9951757138739787,0.9960479973789828,0.9517543859649122,0.9988705901679741,0.04824561403508772,0.003952002621017282,0.9990013837936639,0.999976802019723,101299.54000000072,129.7049167733684,0.0,0.0,0.0,0.0,0.0,0.0,0.0012005762766127742,1.0
CICIoT2023,0,Mode1_CommonDefaultReward,test,None,0.9949381777439879,0.9756350276986399,0.9516560524955846,0.9950653892850092,0.9959759377502208,0.9552941176470588,0.9988263877450173,0.04470588235294118,0.004024062249779293,0.9988810723747483,0.9999707603807803,101048.18000000059,129.38307298335542,0.0,0.0,0.0,0.0,0.0,0.0,0.001360489776319475,1.0
CICIoT2023,0,Mode2_ValidationTunedReward,val,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9950376180566672,0.9739011916719476,0.9474465971892511,0.9951757138739787,0.9960479973789828,0.9517543859649122,0.9988705901679741,0.04824561403508772,0.003952002621017282,0.9990013837936639,0.999976802019723,101299.54000000072,129.7049167733684,0.0,0.0,0.0,0.0,0.0,0.0,0.0012005762766127742,1.0
CICIoT2023,0,Mode2_ValidationTunedReward,test,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9949381777439879,0.9756350276986399,0.9516560524955846,0.9950653892850092,0.9959759377502208,0.9552941176470588,0.9988263877450173,0.04470588235294118,0.004024062249779293,0.9988810723747483,0.9999707603807803,101048.18000000059,129.38307298335542,0.0,0.0,0.0,0.0,0.0,0.0,0.001360489776319475,1.0
CICIoT2023,1,Mode1_CommonDefaultReward,val,None,0.9958580118456859,0.9795597969805847,0.9560462212513701,0.995959292813285,0.9966414089698955,0.962478184991274,0.9991172062657825,0.037521815008726006,0.003358591030104444,0.9991389259099223,0.9999798536367359,101463.4900000005,129.91483994878425,0.0,0.0,0.0,0.0,0.0,0.0,0.0007803745797983031,1.0
CICIoT2023,1,Mode1_CommonDefaultReward,test,None,0.9957978989494748,0.977433504306215,0.9576484527511575,0.9958847649271987,0.9967389297946961,0.958128078817734,0.9989516742379083,0.04187192118226601,0.003261070205303854,0.9990870074384166,0.999976794694282,101338.40000000069,129.75467349551946,0.0,0.0,0.0,0.0,0.0,0.0,0.0011405702851425713,1.0
CICIoT2023,1,Mode2_ValidationTunedReward,val,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9958580118456859,0.9795597969805847,0.9560462212513701,0.995959292813285,0.9966414089698955,0.962478184991274,0.9991172062657825,0.037521815008726006,0.003358591030104444,0.9991389259099223,0.9999798536367359,101463.4900000005,129.91483994878425,0.0,0.0,0.0,0.0,0.0,0.0,0.0007803745797983031,1.0
