accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,note,train_time_sec
0.9421333333333334,0.9384063101846607,0.9375002832168426,0.942192324177128,0.957124842370744,0.9519230769230769,0.9519230769230769,0.07511045655375552,0.04807692307692308,0.9905971857591087,0.994824769327591,0.44,2512,204,230,4554,UNSW-NB15,1,No_TemporalBranch,test,,
0.9404079456072524,0.9359482765518234,0.9355671682533478,0.9404338447078812,0.9543264194426985,0.9521321070234113,0.9521321070234113,0.08023555391976445,0.04786789297658863,0.9896354305789264,0.994291943025259,0.5,2499,218,229,4555,UNSW-NB15,1,No_Calibration_Raw0.5,val,,
0.9426666666666667,0.9392222664157895,0.9381053963956882,0.9427383565726939,0.9581228956228957,0.9517140468227425,0.9517140468227425,0.07326951399116348,0.04828595317725753,0.9905889507735653,0.9948088046990726,0.5,2517,199,231,4553,UNSW-NB15,1,No_Calibration_Raw0.5,test,,
0.9072123716837754,0.8964070826198973,0.898932216021127,0.9069038423623914,0.9202302631578947,0.93561872909699,0.93561872909699,0.14280456385719545,0.06438127090301003,0.9700783451278523,0.9841475266496311,0.65,2329,388,308,4476,UNSW-NB15,1,Full_DistilledStudent,val,,7.063102960586548
0.9036,0.8941159412080524,0.8953398507574258,0.9034471068721119,0.9210035247771097,0.9285117056856187,0.9285117056856187,0.140279823269514,0.07148829431438126,0.9697855301914579,0.9841122736780461,0.65,2335,381,342,4442,UNSW-NB15,1,Full_DistilledStudent,test,,7.063102960586548
0.8908145580589255,0.8618451056952201,0.8762926599766683,0.8879723344264837,0.8749763571023265,0.9669732441471572,0.9669732441471572,0.24328303275671698,0.03302675585284281,0.9639919302225674,0.9809485805086057,0.325,2056,661,158,4626,UNSW-NB15,1,No_FocalLoss,val,,6.89537239074707
0.8866666666666667,0.8570483472153128,0.8714819209031803,0.8836627022216014,0.8715527011711371,0.9644648829431438,0.9644648829431438,0.2503681885125184,0.035535117056856184,0.9643233489392723,0.9814307972543193,0.325,2036,680,170,4614,UNSW-NB15,1,No_FocalLoss,test,,6.89537239074707
0.9212105052659645,0.912072338416732,0.9142718736393743,0.9209926569440426,0.9321789321789322,0.9452341137123745,0.9452341137123745,0.12108943687891056,0.054765886287625416,0.9802316533580834,0.9888578948905733,0.635,2388,329,262,4522,UNSW-NB15,1,No_ContrastiveLearning,val,,3.9309873580932617
0.9208,0.9110998677476714,0.9137231443678469,0.9205364299578342,0.9307154605263158,0.9462792642140468,0.9462792642140468,0.12407952871870398,0.053720735785953176,0.9804670760660227,0.9890171710548242,0.635,2379,337,257,4527,UNSW-NB15,1,No_ContrastiveLearning,test,,3.9309873580932617
0.9048126916411146,0.8819630026723848,0.8934969961208246,0.9030632712293887,0.89422704378148,0.9648829431438127,0.9648829431438127,0.20095693779904306,0.03511705685618729,0.9727283036449555,0.9849940774217254,0.51,2171,546,168,4616,UNSW-NB15,1,No_HardClassMining,val,,7.051923990249634
0.9032,0.8804330894340979,0.8917417548770886,0.901453087218966,0.8935221101629169,0.9630016722408027,0.9630016722408027,0.20213549337260678,0.03699832775919733,0.9733833722866108,0.9854484146754492,0.51,2167,549,177,4607,UNSW-NB15,1,No_HardClassMining,test,,7.051923990249634
0.9136115184642047,0.8971301867468915,0.9046205983564906,0.9126901736333665,0.9119521912350598,0.9569397993311036,0.9569397993311036,0.16267942583732056,0.04306020066889632,0.9715864469098936,0.9685721993399697,0.515,2275,442,206,4578,UNSW-NB15,1,PlainKD_NoHardClassExtras,val,,3.3141515254974365
0.9110666666666667,0.8946369772092542,0.9018613310514809,0.9101489383880957,0.9106323558747257,0.9542224080267558,0.9542224080267558,0.16494845360824742,0.045777591973244144,0.9734922357169948,0.9738183795273108,0.515,2268,448,219,4565,UNSW-NB15,1,PlainKD_NoHardClassExtras,test,,3.3141515254974365
0.9428076256499134,0.9385527909068466,0.9379437096144304,0.9428470002082958,0.9570116861435726,0.9536286130172593,0.9536286130172593,0.07652303120356613,0.046371386982740695,0.9895165454075243,0.9943135812177695,0.465,2486,206,223,4586,UNSW-NB15,2,Full_AegisGraphX_backbone,val,,
0.9429333333333333,0.9382432510946342,0.9380283756677394,0.9429472810802497,0.9560599750104123,0.9548668885191348,0.9548668885191348,0.07838038632986627,0.045133111480865226,0.9901971979588254,0.9946506196595146,0.465,2481,211,217,4591,UNSW-NB15,2,Full_AegisGraphX_backbone,test,,
0.9421410478602853,0.939586444374203,0.9374361087780101,0.9422782847805268,0.9606232891134976,0.9486379704720316,0.9486379704720316,0.06946508172362556,0.051362029527968395,0.9892426347700588,0.9941446958225765,0.51,2505,187,247,4562,UNSW-NB15,2,No_ExpertEnsemble_BestSingleExpert,val,HistGradientBoosting,
0.9418666666666666,0.9389644055351037,0.9371031729545028,0.9419866771671669,0.9596299411269975,0.9492512479201332,0.9492512479201332,0.0713224368499257,0.050748752079866885,0.9900952906621704,0.9946043845834576,0.51,2500,192,244,4564,UNSW-NB15,2,No_ExpertEnsemble_BestSingleExpert,test,HistGradientBoosting,
0.9418744167444341,0.9387243905913164,0.9370779106340701,0.9419809543016898,0.9590594163342431,0.9498856311083386,0.9498856311083386,0.0724368499257058,0.050114368891661466,0.988888157636576,0.9939328657232508,0.51,2497,195,241,4568,UNSW-NB15,2,No_MoERouter_EqualWeight,val,,
0.942,0.9385779458703054,0.9371823871697957,0.9420904607127482,0.9584818620255818,0.9507071547420965,0.9507071547420965,0.07355126300148589,0.04929284525790349,0.9895475872307917,0.9942099227433308,0.51,2494,198,237,4571,UNSW-NB15,2,No_MoERouter_EqualWeight,test,,
0.9390747900279963,0.9363774568919037,0.9341361218619998,0.9392262681655121,0.9584913611462283,0.9459347057600332,0.9459347057600332,0.07317979197622586,0.05406529423996673,0.9884151094854652,0.9936544243281651,0.465,2495,197,260,4549,UNSW-NB15,2,No_GraphBranch,val,,
0.9402666666666667,0.9362451263743192,0.9352479586918978,0.9403339673483205,0.9560669456066946,0.9504991680532446,0.9504991680532446,0.07800891530460624,0.049500831946755405,0.9894920365512654,0.9942496254476565,0.465,2482,210,238,4570,UNSW-NB15,2,No_GraphBranch,test,,
0.9390747900279963,0.9363774568919037,0.9341361218619998,0.9392262681655121,0.9584913611462283,0.9459347057600332,0.9459347057600332,0.07317979197622586,0.05406529423996673,0.9884723480027697,0.9936904872679357,0.465,2495,197,260,4549,UNSW-NB15,2,No_TemporalBranch,val,,
0.9398666666666666,0.9358514041728372,0.934819595574716,0.9399367984643029,0.9558485038711028,0.9500831946755408,0.9500831946755408,0.07838038632986627,0.04991680532445923,0.9895058662753756,0.9942582691430627,0.465,2481,211,240,4568,UNSW-NB15,2,No_TemporalBranch,test,,
0.9408078922810292,0.939119073727845,0.9361150613466853,0.9410017918375884,0.9619047619047619,0.9451029320024953,0.9451029320024953,0.06686478454680535,0.05489706799750468,0.9895165454075243,0.9943135812177695,0.5,2512,180,264,4545,UNSW-NB15,2,No_Calibration_Raw0.5,val,,
0.9421333333333334,0.93966284523318,0.9374412418545806,0.9422749641374631,0.9608091024020228,0.9484193011647255,0.9484193011647255,0.06909361069836553,0.051580698835274545,0.9901971979588254,0.9946506196595146,0.5,2506,186,248,4560,UNSW-NB15,2,No_Calibration_Raw0.5,test,,
0.9194774030129316,0.9058037848177807,0.9112725617699566,0.9188874889560057,0.9227830283531068,0.9542524433354128,0.9542524433354128,0.1426448736998514,0.045747556664587234,0.9750430408931743,0.97497845506409,0.63,2308,384,220,4589,UNSW-NB15,2,Full_DistilledStudent,val,,5.756940603256226
0.9204,0.9057095591053049,0.9120813326313978,0.919711285016297,0.9211842368473695,0.9577787021630616,0.9577787021630616,0.14635958395245172,0.04222129783693843,0.9757632539749252,0.9723036790753079,0.63,2298,394,203,4605,UNSW-NB15,2,Full_DistilledStudent,test,,5.756940603256226
0.889614718037595,0.854714430007876,0.8726606513099073,0.8857741914131279,0.866642107202063,0.9783738823040133,0.9783738823040133,0.2689450222882615,0.021626117695986692,0.9249746327542743,0.910792081514155,0.535,1968,724,104,4705,UNSW-NB15,2,No_FocalLoss,val,,5.455278158187866
0.8910666666666667,0.8578179198611526,0.8748606133077768,0.8875660630696927,0.8701539603042108,0.9756655574043261,0.9756655574043261,0.2600297176820208,0.024334442595673876,0.9360284864502698,0.9217508178864035,0.535,1992,700,117,4691,UNSW-NB15,2,No_FocalLoss,test,,5.455278158187866
0.9142780962538328,0.8924278153548773,0.9038526973701771,0.9127881505834157,0.903525765207284,0.9698482012892493,0.9698482012892493,0.1849925705794948,0.030151798710750674,0.9728684407053763,0.9721313678073742,0.5,2194,498,145,4664,UNSW-NB15,2,No_ContrastiveLearning,val,,3.2196362018585205
