baseline,dataset,metric,n_paired_seeds,winner_mean,baseline_mean,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,cohens_d,p_ttest_holm,p_wilcoxon_holm
GreedyUncertainty,UNSW-NB15,macro_f1,3,0.6457648104174395,0.7734909092990657,-5.477234990027129,0.031754059426631634,0.0,0.25,-4.345801421995478,0.3810487131195796,1.0
GreedyCentrality,UNSW-NB15,macro_f1,3,0.6457648104174395,0.7734909092990657,-5.477234990027129,0.031754059426631634,0.0,0.25,-4.345801421995478,0.3810487131195796,1.0
StaticThreshold,UNSW-NB15,macro_f1,3,0.6457648104174395,0.7734909092990657,-5.477234990027129,0.031754059426631634,0.0,0.25,-4.345801421995478,0.3810487131195796,1.0
OracleUpperBound,UNSW-NB15,macro_f1,3,0.6457648104174395,1.0,-14.80881977120238,0.004528985339053707,0.0,0.25,-12.091350710761654,0.16757245754498717,1.0
LogisticRegression,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.8059453043240682,-3.4966611992047896,0.07295163904426423,0.0,0.25,-3.184669133769526,1.0,1.0
LinearSVM,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.5464849087550663,-0.2978812459442139,0.7938887614816239,2.0,0.75,-0.2334230403756552,1.0,1.0
GaussianNB,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.392342432093762,2.0786279238802803,0.17321160366053273,0.0,0.25,0.8613758168470338,1.0,1.0
kNN,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9853532616279526,-6.865459623221777,0.020563716660019965,0.0,0.25,-5.499570167565079,0.7336079694910469,1.0
DecisionTree,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9967221844514987,-6.911422049437194,0.02029936370167697,0.0,0.25,-5.637565442582076,0.7336079694910469,1.0
RandomForest,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9982188606724357,-6.927229820646074,0.02020961043738469,0.0,0.25,-5.655729093579206,0.7336079694910469,1.0
