accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_benign,recall_benign,f1_benign,precision_attack,recall_attack,f1_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,threshold_key,tn,fp,fn,tp,dataset,seed,candidate,split,n_experts,latency_sec,peak_memory_MB,row_cap,post_determinism_fix,rl_train_time_sec,eval_latency_sec,n_rl_params,attack_recall,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
0.9765097984266469,0.5,0.4940576561795818,0.9649042844941301,,,,0.9765097984266469,,,0.0,1.0,0.0,0.998744729835046,0.9999700664108809,,,,,,,CICIoT2023,5,B_BudgetedRLInvestigation,test,9,449.3432276248932,0.516649,100000,True,14.083152532577515,44.193023920059204,10131.0,1.0,256094.85999999946,163.9531754161328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9766890201181063,0.5,0.4941035287683996,0.9651709826994134,,,,0.9766890201181063,,,0.0,1.0,0.0,0.9988026417431837,0.9999716608244323,,,,,,,CICIoT2023,5,C_SafetyShieldedRL,val,9,449.3432276248932,0.516649,100000,True,14.083152532577515,43.9683780670166,10131.0,1.0,256181.29999999935,164.0085147247115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9765097984266469,0.5,0.4940576561795818,0.9649042844941301,,,,0.9765097984266469,,,0.0,1.0,0.0,0.998744729835046,0.9999700664108809,,,,,,,CICIoT2023,5,C_SafetyShieldedRL,test,9,449.3432276248932,0.516649,100000,True,14.083152532577515,45.14728403091431,10131.0,1.0,256094.85999999946,163.9531754161328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9472701819878675,0.9402761431636288,0.9427199570066749,0.947118436074351,0.9388638073739654,0.9146050943741982,0.926575698505523,0.9518843572534847,0.9659471919530596,0.9588642155078267,0.9659471919530596,0.08539490562580172,0.03405280804694048,0.9912906490905579,0.995158182821444,0.35500000000000004,temperature,4991.0,466.0,325.0,9219.0,UNSW-NB15,6,A_TreeGuidedGraphMoE,val,9,666.3669891357422,964.427087,100000,True,,,,,,,,,,,,,,
0.9418666666666666,0.9324211576235732,0.9365821564103174,0.9415688790217362,0.9397659696911568,0.8977460142935679,0.9182755388940956,0.9429855931337489,0.9670963009535786,0.954888773926539,0.9670963009535786,0.1022539857064321,0.03290369904642146,0.9903666651554184,0.9946984041197738,0.35500000000000004,temperature,4899.0,558.0,314.0,9229.0,UNSW-NB15,6,A_TreeGuidedGraphMoE,test,9,666.3669891357422,964.427087,100000,True,,,,,,,,,,,,,,
0.9444818757579841,0.9389033668780735,0.9394566322186823,0.9444466191382042,,,,0.9554000417798203,,,0.9194035485088713,0.08059645149112873,0.041596814752724226,0.9910292699296291,0.9951581827441343,,,,,,,UNSW-NB15,6,B_BudgetedRLInvestigation,val,9,686.1150290966034,0.504043,100000,True,19.748039960861206,8.142618656158447,9875.0,0.9584031852472757,23629.260000000013,100.55004255319155,0.0,0.0,0.0,0.6352909806012933,0.010599293380441304,0.0,0.008399440037330844,0.3419772015198987
0.9374494472903747,0.9281553545291106,0.93133859392366,0.9372064490543736,,,,0.9432040333367631,,,0.8957113168335538,0.10428868316644625,0.039400607775332705,0.9900681828364096,0.9946984041175801,,,,,,,UNSW-NB15,6,B_BudgetedRLInvestigation,test,9,686.1150290966034,0.504043,100000,True,19.748039960861206,8.14557933807373,9875.0,0.9605993922246673,23377.109999999997,99.47706382978723,0.0,0.0,0.0,0.6451333333333333,0.010933333333333333,0.0,0.006266666666666667,0.3306
0.9444818757579841,0.9389033668780735,0.9394566322186823,0.9444466191382042,,,,0.9554000417798203,,,0.9194035485088713,0.08059645149112873,0.041596814752724226,0.9910292699296291,0.9951581827441343,,,,,,,UNSW-NB15,6,C_SafetyShieldedRL,val,9,686.1150290966034,0.504043,100000,True,19.748039960861206,8.40035629272461,9875.0,0.9584031852472757,23629.260000000013,100.55004255319155,0.0,0.0,0.0,0.6352909806012933,0.010599293380441304,0.0,0.008399440037330844,0.3419772015198987
0.9374494472903747,0.9281553545291106,0.93133859392366,0.9372064490543736,,,,0.9432040333367631,,,0.8957113168335538,0.10428868316644625,0.039400607775332705,0.9900681828364096,0.9946984041175801,,,,,,,UNSW-NB15,6,C_SafetyShieldedRL,test,9,686.1150290966034,0.504043,100000,True,19.748039960861206,8.25381875038147,9875.0,0.9605993922246673,23377.109999999997,99.47706382978723,0.0,0.0,0.0,0.6451333333333333,0.010933333333333333,0.0,0.006266666666666667,0.3306
0.9969120553359684,0.9968775289548684,0.9963791178142752,0.9969135995850652,0.9931986397279456,0.9967877936157398,0.9949899799599199,0.998570535155901,0.996967264293997,0.9977682556686306,0.996967264293997,0.0032122063842601888,0.003032735706003033,0.9999361233377227,0.9999717925605756,0.33,temperature,4965.0,16.0,34.0,11177.0,ToN-IoT-Network,6,A_TreeGuidedGraphMoE,val,9,790.0683825016022,945.669825,100000,True,,,,,,,,,,,,,,
