dataset,model,macro_f1,minority_recall,pr_auc,fpr,fnr,roc_auc,train_time_sec,inference_latency_sec_per_sample
ToN-IoT-Network,C3_OfflineSafeGraphRL,0.5715400631996609,0.16508475556292349,0.9383566776144555,0.8349152444370764,0.00568123522857784,0.8826588500088587,,
ToN-IoT-Network,CQL_Offline,0.5684744396765243,0.26368159203980096,0.9272328933668467,0.7363184079601991,0.0292052794158944,0.8633247675689869,,
ToN-IoT-Network,LinearSVM,0.5464849087550664,0.12111311262014435,0.9085061913316492,0.8788868873798555,0.014817006759591834,0.8215378499406215,59.61662721633911,6.838673484504057e-07
ToN-IoT-Network,DQN,0.5240104239897719,0.49606431631022,0.9226104220400813,0.5039356836897799,0.31578327054304417,0.8671530639744344,,
ToN-IoT-Network,DoubleDQN,0.5105186404074346,0.6323448874641021,0.931207623639667,0.36765511253589794,0.3560081931708005,0.8402715229446859,,
ToN-IoT-Network,RandomAcquisition,0.5102404504269334,0.3635373211214959,0.9235637291995215,0.636462678878504,0.3188272248731656,0.8513949876515229,,
ToN-IoT-Network,TCN,0.45730940582248225,0.3684741335339568,0.8188102221368783,0.6315258664660431,0.30683051745552037,0.5780356326187192,24.11427966753642,1.2732760030933621e-05
ToN-IoT-Network,A2C,0.4404386725485728,0.0,0.9212085703142417,1.0,0.0,0.8500606043906301,,
ToN-IoT-Network,PPO,0.4403179986888839,0.0010708722741433,0.9239690383600783,0.9989291277258566,0.0048933744821642,0.855045731593199,,
ToN-IoT-Network,1D-CNN,0.4286147389131639,0.7853704273973984,0.8603814536972535,0.21462957260260154,0.6133521339344671,0.6600049171001615,8.739315668741861,8.645335686556774e-06
ToN-IoT-Network,GaussianNB,0.392342432093762,0.3796146895962777,0.8764517147405071,0.6203853104037224,0.34616758122690366,0.7666599290343142,0.030892531077067003,6.061177546131055e-07
ToN-IoT-Network,DuelingDQN,0.38124919408924557,0.4885650504816194,0.9404760743368964,0.5114349495183806,0.48838144401495015,0.819479966992691,,
UNSW-NB15,OracleUpperBound,1.0,1.0,0.9089678177483022,0.0,0.0,0.8641042556742118,,
UNSW-NB15,XGBoost,0.9403248366261758,0.9348085299963946,0.9950884514286887,0.0651914700036053,0.049737120984257095,0.9910140014664007,0.3709261417388916,2.39615970187717e-07
UNSW-NB15,LightGBM,0.9393008061579668,0.9661107051246806,0.9951606979153768,0.033889294875319505,0.070070569754244,0.9911516767997653,0.5260817209879557,6.344371371799046e-07
UNSW-NB15,HistGradientBoosting,0.9388987513000336,0.9343145682927276,0.9949458389868214,0.06568543170727233,0.05158032938378754,0.9907596064472596,1.8053858280181885,1.8706268734402124e-06
UNSW-NB15,CatBoost,0.936973640658942,0.9272282934934396,0.9946361646298593,0.0727717065065604,0.05018923784638717,0.9902189718340993,2.792576710383097,4.920694563123914e-07
UNSW-NB15,RandomForest,0.9358069729569239,0.9526138978501137,0.9948272041252045,0.0473861021498862,0.06725481408797217,0.9905524220051415,1.8360904852549236,7.96957015991211e-06
UNSW-NB15,GradientBoosting,0.9305853531886165,0.9104710176009551,0.9934491837759439,0.0895289823990451,0.04959764493952403,0.9881318031065051,32.29514034589132,1.0879834493001302e-06
UNSW-NB15,DecisionTree,0.9279038822138729,0.9677733934761656,0.9846652067006173,0.03222660652383424,0.08842245102610884,0.9805353655973642,0.5221366882324219,1.497904459635417e-07
UNSW-NB15,ExtraTrees,0.9176899763272365,0.9137331706246957,0.9907626579080763,0.08626682937530424,0.07107821987243126,0.983590886350061,1.1509437561035156,7.2559568617079e-06
UNSW-NB15,kNN,0.9148061299644327,0.8929709304264315,0.9872554835385685,0.10702906957356839,0.06263184454178103,0.9809758164021117,0.004225571950276666,6.579950120711823e-05
UNSW-NB15,LSTM,0.9031610197223863,0.8949570951111309,0.986439788628711,0.10504290488886914,0.0816210369656523,0.9758844397312156,18.96740214029948,1.115393232893538e-05
UNSW-NB15,GRU,0.8945339600680465,0.8940276092143934,0.9846094681400634,0.10597239078560661,0.09432045925898502,0.9725963088594498,18.68754522005717,1.675262956064517e-05
UNSW-NB15,MLP,0.8854491600280202,0.9001788114808162,0.9804305427013201,0.0998211885191837,0.1123649611989566,0.9648686723998664,5.5378438631693525,6.417984432644315e-06
UNSW-NB15,LinearSVM,0.8796947002283533,0.7874805444427827,0.9734717979697621,0.2125194555572172,0.048485983845921864,0.960835550234627,20.157856067021687,7.01957278781467e-07
UNSW-NB15,CNN-BiLSTM,0.8782302414361561,0.8648477002733032,0.9782819628856224,0.13515229972669685,0.10107183318202444,0.9626837505428659,35.64095608393351,1.4846007506529969e-05
