accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,model,perturbation
0.9476085153442079,0.9046792302791027,0.9235346542454352,0.9463096300077627,0.9480542043085476,0.9855517428210222,0.9855517428210222,0.17619328226281675,0.014448257178977787,0.9163328735418844,0.9540471575639343,0.655,1398,299,80,5457,ToN-IoT-Network,1,AegisGraphX,label_noise_5pct
0.9980638915779284,0.9948003269171153,0.9927519848818426,0.9980678960307712,0.9993043478260869,0.9986096628432395,0.9986096628432395,0.009009009009009009,0.0013903371567605145,0.9998019395829616,0.9999844589655984,0.655,440,4,8,5746,ToN-IoT-Network,1,AegisGraphX,class_imbalance_stress
0.9975117500691181,0.9959264530432413,0.9961754748935135,0.9975111250573427,0.998262682418346,0.9986096628432395,0.9986096628432395,0.006756756756756757,0.0013903371567605145,0.9997868697686216,0.9999436210743713,0.655,1470,10,8,5746,ToN-IoT-Network,1,AegisGraphX,clean_baseline
0.9778520267296227,0.5949060991756631,0.6473512837642131,0.9713290306866367,0.9792396601022915,0.9984396493317182,0.9984396493317182,0.8086274509803921,0.0015603506682817666,0.7509587259873666,0.9864208760319464,0.165,244,1031,76,48631,CICIoT2023,0,AegisGraphX,feature_noise_low
0.9703693329598656,0.5341649970189895,0.5493185857939127,0.9627084771142222,0.976202960513048,0.9938201901164103,0.9938201901164103,0.9254901960784314,0.006179809883589628,0.6859549116626551,0.9849057418662461,0.165,95,1180,301,48406,CICIoT2023,0,AegisGraphX,feature_noise_high
0.9852947060941939,0.7285679273865294,0.8031362003091762,0.9828433956833512,0.985999108481582,0.9990966390867843,0.9990966390867843,0.5419607843137255,0.0009033609132157595,0.9810774309929282,0.9993790532202934,0.165,584,691,44,48663,CICIoT2023,0,AegisGraphX,missing_features_20pct
0.9767316233844184,0.5454491342187398,0.5772547011534339,0.9672353415564237,0.9767558461353335,0.9999178762806168,0.9999178762806168,0.9090196078431373,8.212371938325087e-05,0.9267869537615281,0.9970913067857686,0.165,116,1159,4,48703,CICIoT2023,0,AegisGraphX,missing_features_50pct
0.9451002360849906,0.6443912517201944,0.7038473246983672,0.9322760544591455,0.9472572108480696,0.9962673686027445,0.9962673686027445,0.7074848651623555,0.003732631397255545,0.6675691399072814,0.9510681257988552,0.165,1063,2571,173,46175,CICIoT2023,0,AegisGraphX,label_noise_5pct
0.9967609851494225,0.9399292134385793,0.9037451417980515,0.9968939860859123,0.9990747974834492,0.9976594739975774,0.9976594739975774,0.11780104712041885,0.0023405260024226496,0.9990133329578286,0.9999922628986854,0.165,337,45,114,48593,CICIoT2023,0,AegisGraphX,class_imbalance_stress
0.9946580769076868,0.9388297369987887,0.9454640395778937,0.994617661339111,0.9968612809256144,0.9976594739975774,0.9976594739975774,0.12,0.0023405260024226496,0.9988810723747483,0.9999707603807803,0.165,1122,153,114,48593,CICIoT2023,0,AegisGraphX,clean_baseline
0.9786493246623311,0.6068153221769714,0.6596731824274589,0.9730915368920035,0.9807459677419355,0.9977028939434338,0.9977028939434338,0.784072249589491,0.0022971060565662367,0.7640261027063842,0.98848057241129,0.38,263,955,112,48645,CICIoT2023,1,AegisGraphX,feature_noise_low
0.9759479739869935,0.539388980161764,0.5640018396277962,0.9671454524754789,0.9775077819058139,0.9983181902085855,0.9983181902085855,0.9195402298850575,0.001681809791414566,0.7082235558243954,0.9862528592756362,0.38,98,1120,82,48675,CICIoT2023,1,AegisGraphX,feature_noise_high
0.9870735367683842,0.7612279360130951,0.8286509127528685,0.985378965591892,0.9882283696291937,0.9986463482166663,0.9986463482166663,0.47619047619047616,0.0013536517833336753,0.938960337234891,0.9963081208458437,0.38,638,580,66,48691,CICIoT2023,1,AegisGraphX,missing_features_20pct
0.9781690845422711,0.5537356633360178,0.5912892546132513,0.9695517743573112,0.9781902086677368,0.9999179604979798,0.9999179604979798,0.8924466338259441,8.203950202022273e-05,0.8489984748263841,0.9876065227640413,0.38,131,1087,4,48753,CICIoT2023,1,AegisGraphX,missing_features_50pct
0.9461930965482741,0.6499670699564635,0.7099507653641857,0.9340881781994997,0.9486589723579907,0.9959252312269582,0.9959252312269582,0.6959910913140311,0.004074768773041847,0.6616093834922528,0.9511697720912211,0.38,1092,2500,189,46194,CICIoT2023,1,AegisGraphX,label_noise_5pct
0.9967835185863768,0.9671087340883402,0.9053647003302571,0.996995592067004,0.9995271867612293,0.9972311668068174,0.9972311668068174,0.06301369863013699,0.0027688331931825174,0.9992688931775444,0.9999945241396683,0.38,342,23,135,48622,CICIoT2023,1,AegisGraphX,class_imbalance_stress
0.9958579289644822,0.9690589331571033,0.9575213611524382,0.995908801063483,0.9985213784039101,0.9972311668068174,0.9972311668068174,0.059113300492610835,0.0027688331931825174,0.9990870074384166,0.999976794694282,0.38,1146,72,135,48622,CICIoT2023,1,AegisGraphX,clean_baseline
