accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,row_cap,post_determinism_fix,note,train_time_sec
0.9962063581037797,0.954659325498029,0.957662821220123,0.9961938233572505,0.9979002140757357,0.9982171765814873,0.9982171765814873,0.08889852558542931,0.0017828234185126744,0.9992889527348916,0.999983314490985,0.315,2101,205,174,97424,CICIoT2023,0,No_MoERouter_EqualWeight,val,100000,True,,
0.9958366276684114,0.9528817049569934,0.9552912595561518,0.995825548884023,0.9977344719064265,0.9980004716836028,0.9980004716836028,0.09223706176961603,0.0019995283163971576,0.999151593484809,0.9999793186300376,0.315,2175,221,195,97328,CICIoT2023,0,No_MoERouter_EqualWeight,test,100000,True,,
0.9953054932735426,0.9558918714068739,0.948766178227438,0.9953421511038507,0.9979799637008706,0.9972130576446239,0.9972130576446239,0.08542931483087597,0.002786942355376135,0.9989117638637578,0.9999741329194444,0.18000000000000002,2109,197,272,97326,CICIoT2023,0,No_GraphBranch,val,100000,True,,
0.9950059548234069,0.9561201388270602,0.9476454858308473,0.9950523016426118,0.997916452837935,0.9969648185556228,0.9969648185556228,0.0847245409015025,0.003035181444377224,0.9989053479050026,0.9999731592072827,0.18000000000000002,2193,203,296,97227,CICIoT2023,0,No_GraphBranch,test,100000,True,,
0.995345531710442,0.9601464159572604,0.9495810256945876,0.9953989022378347,0.9981843733010555,0.9970491198590135,0.9970491198590135,0.07675628794449263,0.002950880140986496,0.9989126191874711,0.9999742071524399,0.18000000000000002,2129,177,288,97310,CICIoT2023,0,No_TemporalBranch,val,100000,True,,
0.99472572783955,0.9547552581106804,0.9448837433901616,0.9947829041251484,0.9978545178311126,0.9967392307455677,0.9967392307455677,0.08722871452420701,0.003260769254432288,0.998839219075875,0.9999715755167498,0.18000000000000002,2187,209,318,97205,CICIoT2023,0,No_TemporalBranch,test,100000,True,,
0.9915118513773222,0.9867641387942365,0.9189502413868773,0.9920983132725564,0.9995662680463474,0.991741634049878,0.991741634049878,0.01821335646140503,0.00825836595012193,0.9987265385149735,0.9999700555307238,0.5,2264,42,806,96792,CICIoT2023,0,No_Calibration_Raw0.5,val,100000,True,,
0.9914130445660986,0.9864411014245225,0.9206335507058379,0.9919891279421907,0.9995349077567051,0.9916635050193288,0.9916635050193288,0.018781302170283808,0.008336494980671226,0.9986772351137679,0.9999676877291187,0.5,2351,45,813,96710,CICIoT2023,0,No_Calibration_Raw0.5,test,100000,True,,
0.9831738468930173,0.8137696480742367,0.813570495127752,0.9831791865445542,0.9914032481172191,0.9913727740322548,0.9913727740322548,0.36383347788378145,0.00862722596774524,0.9740540728453569,0.9990581188701816,0.015,1467,839,842,96756,CICIoT2023,0,Full_DistilledStudent,val,100000,True,,21.646098613739014
0.9829361783044266,0.8125379378422216,0.8158159935838687,0.9828466289398596,0.9910017012728801,0.9915199491402028,0.9915199491402028,0.3664440734557596,0.008480050859797176,0.9746147636214475,0.9990923080905376,0.015,1518,878,827,96696,CICIoT2023,0,Full_DistilledStudent,test,100000,True,,21.646098613739014
0.9778787636130686,0.5944877750203426,0.6377008635173196,0.9725585423380962,0.9812131729760272,0.9964343531629747,0.9964343531629747,0.8074588031222897,0.0035656468370253488,0.5840259196764923,0.9768346590651733,0.34500000000000003,444,1862,348,97250,CICIoT2023,0,No_FocalLoss,val,100000,True,,23.57038688659668
0.9769713467909006,0.594529077058437,0.6374042171618215,0.9714684025324279,0.9804823897466949,0.9962367851686269,0.9962367851686269,0.8071786310517529,0.003763214831373112,0.5876895257292758,0.9762681816922868,0.34500000000000003,462,1934,367,97156,CICIoT2023,0,No_FocalLoss,test,100000,True,,23.57038688659668
0.9766475816784113,0.6158747112582657,0.6538733121579733,0.9726896447948384,0.9822030552434172,0.9941084858296276,0.9941084858296276,0.7623590633130962,0.0058915141703723434,0.9382986735133323,0.9977135974755296,0.01,548,1758,575,97023,CICIoT2023,0,No_ContrastiveLearning,val,100000,True,,15.653786182403564
