macro_f1,balanced_accuracy,fpr,fnr,minority_recall,mean_realized_reward,commit_rate,isolation_rate,abstention_rate,escalation_rate,n_flows,dataset,seed,split,model,mean_expected_reward
0.998102163531047,0.9971766799874864,0.0055604331284752,8.620689655172413e-05,0.9944395668715248,1.6833233711894804,0.9973434283057714,0.0,0.0026565716942285,0.0,15057,ToN-IoT-Network,8,test,AnalyticDecisionTheoretic,1.6822503805160522
0.9988189375953208,0.9981027940669196,0.0037944118661607,0.0,0.9962055881338392,1.7425819920533374,0.997777628123106,0.0,0.002222371876894,0.0,14849,ToN-IoT-Network,9,val,AnalyticDecisionTheoretic,1.7419573068618774
0.998680969884028,0.998333886600514,0.0030668574933551,0.0002653693056169,0.9969331425066448,1.5518931919092258,0.998766650222003,0.0,0.001233349777997,0.0,16216,ToN-IoT-Network,9,test,AnalyticDecisionTheoretic,1.537230134010315
0.9727398196979544,0.9837368770750552,0.0309597523219814,0.0015664935279083,0.9690402476780186,2.036609144778988,0.9906510249839846,0.0,0.0093489750160153,0.0,99904,CICIoT2023,0,val,AnalyticDecisionTheoretic,2.031153440475464
0.9726290484829528,0.9842518693926112,0.0298359025360517,0.0016603586787257,0.9701640974639484,2.034697104654771,0.990582371721094,0.0,0.0094176282789059,0.0,99919,CICIoT2023,0,test,AnalyticDecisionTheoretic,2.0295209884643555
0.9645222484418942,0.9819990204491452,0.0336376741950985,0.0023642849066107,0.9663623258049014,2.037947393706462,0.9944951557370486,0.0,0.0055048442629513,0.0,99912,CICIoT2023,1,val,AnalyticDecisionTheoretic,2.0361790657043457
0.9692108290327884,0.9820218728172634,0.0339692880409492,0.0019869663245241,0.9660307119590508,2.0371405119170367,0.9938237619996196,0.0,0.0061762380003803,0.0,99899,CICIoT2023,1,test,AnalyticDecisionTheoretic,2.034205913543701
0.972565147464604,0.978423471844954,0.041817243159525,0.0013358131505666,0.9581827568404748,2.043301837690676,0.9934739960763904,0.0,0.0065260039236097,0.0,99908,CICIoT2023,2,val,AnalyticDecisionTheoretic,2.030153274536133
0.9722381355327734,0.9778299357671648,0.0429417571569595,0.001398371308711,0.9570582428430404,2.0417078687671406,0.9936745601217046,0.0,0.0063254398782953,0.0,99914,CICIoT2023,2,test,AnalyticDecisionTheoretic,2.029481649398804
0.9760568370479024,0.9900780570844976,0.018155757286192,0.0016881285448126,0.981844242713808,2.039338158013273,0.9933835820746124,0.0,0.0066164179253876,0.0,99903,CICIoT2023,3,val,AnalyticDecisionTheoretic,2.0360116958618164
0.9715428677809116,0.9890167712252428,0.0198863636363636,0.0020800939131509,0.9801136363636364,2.0363195083870456,0.9930641739060811,0.0,0.0069358260939188,0.0,99916,CICIoT2023,3,test,AnalyticDecisionTheoretic,2.0340516567230225
0.968526301547992,0.9809757204302234,0.0360655737704918,0.0019829853690613,0.9639344262295082,2.04102338244715,0.9955857623318386,0.0,0.0044142376681614,0.0,99904,CICIoT2023,4,val,AnalyticDecisionTheoretic,2.040208339691162
