accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_benign,recall_benign,f1_benign,precision_attack,recall_attack,f1_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,threshold_key,tn,fp,fn,tp,dataset,seed,candidate,split,attack_recall,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
0.9946380697050938,0.9384375801360436,0.9452385381207944,0.9945964455632128,0.9076923076923077,0.8792156862745099,0.8932270916334661,0.9968408312306398,0.9976594739975774,0.9972499846081228,0.9976594739975774,0.1207843137254902,0.0023405260024226496,0.9988810723747483,0.999970760381988,0.18000000000000002,temperature,1121.0,154.0,114.0,48593.0,CICIoT2023,0,A_TreeGuidedGraphMoE,test,,,,,,,,,,,
0.9950376180566672,0.9739011916719476,0.9474465971892511,0.9951757138739787,,,,0.9988705901679741,,,0.9517543859649122,0.04824561403508772,0.003952002621017282,0.9990013837936639,0.999976802019723,,,,,,,CICIoT2023,0,B_BudgetedRLInvestigation,val,0.9960479973789828,101299.54000000072,129.7049167733684,0.0,0.0,0.0,0.0,0.0,0.0,0.0012005762766127742,1.0
0.9949381777439879,0.9756350276986399,0.9516560524955846,0.9950653892850092,,,,0.9988263877450173,,,0.9552941176470588,0.04470588235294118,0.004024062249779293,0.9988810723747483,0.9999707603807803,,,,,,,CICIoT2023,0,B_BudgetedRLInvestigation,test,0.9959759377502208,101048.18000000059,129.38307298335542,0.0,0.0,0.0,0.0,0.0,0.0,0.001360489776319475,1.0
0.9950376180566672,0.9739011916719476,0.9474465971892511,0.9951757138739787,,,,0.9988705901679741,,,0.9517543859649122,0.04824561403508772,0.003952002621017282,0.9990013837936639,0.999976802019723,,,,,,,CICIoT2023,0,C_SafetyShieldedRL,val,0.9960479973789828,101299.54000000072,129.7049167733684,0.0,0.0,0.0,0.0,0.0,0.0,0.0012005762766127742,1.0
0.9949381777439879,0.9756350276986399,0.9516560524955846,0.9950653892850092,,,,0.9988263877450173,,,0.9552941176470588,0.04470588235294118,0.004024062249779293,0.9988810723747483,0.9999707603807803,,,,,,,CICIoT2023,0,C_SafetyShieldedRL,test,0.9959759377502208,101048.18000000059,129.38307298335542,0.0,0.0,0.0,0.0,0.0,0.0,0.001360489776319475,1.0
0.9959980790779575,0.9749448079832478,0.9570287650698546,0.9960734105809147,0.8820678513731826,0.9528795811518325,0.9161073825503355,0.9988920349624523,0.9970100348146631,0.9979501475893736,0.9970100348146631,0.04712041884816754,0.0029899651853368832,0.999138925909922,0.9999798536369964,0.39,temperature,1092.0,54.0,146.0,48684.0,CICIoT2023,1,A_TreeGuidedGraphMoE,val,,,,,,,,,,,
0.9958579289644822,0.9690589331571033,0.9575213611524382,0.995908801063483,0.8946135831381733,0.9408866995073891,0.9171668667466987,0.9985213784039101,0.9972311668068174,0.9978758555581779,0.9972311668068174,0.059113300492610835,0.0027688331931825174,0.9990870074384166,0.9999767947066412,0.39,temperature,1146.0,72.0,135.0,48622.0,CICIoT2023,1,A_TreeGuidedGraphMoE,test,,,,,,,,,,,
0.9958580118456859,0.9795597969805847,0.9560462212513701,0.995959292813285,,,,0.9991172062657825,,,0.962478184991274,0.037521815008726006,0.003358591030104444,0.9991389259099223,0.9999798536367359,,,,,,,CICIoT2023,1,B_BudgetedRLInvestigation,val,0.9966414089698955,101463.4900000005,129.91483994878425,0.0,0.0,0.0,0.0,0.0,0.0,0.0007803745797983031,1.0
0.9957978989494748,0.977433504306215,0.9576484527511575,0.9958847649271987,,,,0.9989516742379083,,,0.958128078817734,0.04187192118226601,0.003261070205303854,0.9990870074384166,0.999976794694282,,,,,,,CICIoT2023,1,B_BudgetedRLInvestigation,test,0.9967389297946961,101338.40000000069,129.75467349551946,0.0,0.0,0.0,0.0,0.0,0.0,0.0011405702851425713,1.0
0.9958580118456859,0.9795597969805847,0.9560462212513701,0.995959292813285,,,,0.9991172062657825,,,0.962478184991274,0.037521815008726006,0.003358591030104444,0.9991389259099223,0.9999798536367359,,,,,,,CICIoT2023,1,C_SafetyShieldedRL,val,0.9966414089698955,101463.4900000005,129.91483994878425,0.0,0.0,0.0,0.0,0.0,0.0,0.0007803745797983031,1.0
0.9957978989494748,0.977433504306215,0.9576484527511575,0.9958847649271987,,,,0.9989516742379083,,,0.958128078817734,0.04187192118226601,0.003261070205303854,0.9990870074384166,0.999976794694282,,,,,,,CICIoT2023,1,C_SafetyShieldedRL,test,0.9967389297946961,101338.40000000069,129.75467349551946,0.0,0.0,0.0,0.0,0.0,0.0,0.0011405702851425713,1.0
0.9959583024870445,0.9608974716509304,0.9554685601380635,0.9959820914957059,0.902127659574468,0.9241499564080209,0.9130060292850991,0.9982173592328498,0.9976449868938401,0.997931090991028,0.9976449868938401,0.07585004359197908,0.002355013106159895,0.9989139676870884,0.9999745618004976,0.28500000000000003,temperature,1060.0,87.0,115.0,48717.0,CICIoT2023,2,A_TreeGuidedGraphMoE,val,,,,,,,,,,,
0.9959186939820742,0.958484268011809,0.9570134428097803,0.9959252392800507,0.9131147540983606,0.9191419141914191,0.9161184210526315,0.9979903207284062,0.9978266218321988,0.9979084645669292,0.9978266218321988,0.08085808580858085,0.0021733781678011975,0.9985322355330751,0.9999445172750361,0.28500000000000003,temperature,1114.0,98.0,106.0,48666.0,CICIoT2023,2,A_TreeGuidedGraphMoE,test,,,,,,,,,,,
0.9951779747493947,0.9800794510952842,0.9496406437225156,0.9953303215834072,,,,0.9991576438682637,,,0.9642545771578029,0.03574542284219703,0.0040956749672346,0.9989139676870884,0.9999745618000541,,,,,,,CICIoT2023,2,B_BudgetedRLInvestigation,val,0.9959043250327654,101273.71000000059,129.67184379001355,0.0,0.0,0.0,0.0,0.0,0.0,0.0019208067388303087,1.0
0.9957186299615877,0.984128276273867,0.9572671735683096,0.99583703196592,,,,0.9993007855879571,,,0.971947194719472,0.028052805280528052,0.003690642171737882,0.9985322355330752,0.9999444853812155,,,,,,,CICIoT2023,2,B_BudgetedRLInvestigation,test,0.9963093578282621,101283.01000000043,129.68375160051272,0.0,0.0,0.0,0.0,0.0,0.0,0.001820582586427657,1.0
0.9951779747493947,0.9800794510952842,0.9496406437225156,0.9953303215834072,,,,0.9991576438682637,,,0.9642545771578029,0.03574542284219703,0.0040956749672346,0.9989139676870884,0.9999745618000541,,,,,,,CICIoT2023,2,C_SafetyShieldedRL,val,0.9959043250327654,101273.71000000059,129.67184379001355,0.0,0.0,0.0,0.0,0.0,0.0,0.0019208067388303087,1.0
0.9957186299615877,0.984128276273867,0.9572671735683096,0.99583703196592,,,,0.9993007855879571,,,0.971947194719472,0.028052805280528052,0.003690642171737882,0.9985322355330752,0.9999444853812155,,,,,,,CICIoT2023,2,C_SafetyShieldedRL,test,0.9963093578282621,101283.01000000043,129.68375160051272,0.0,0.0,0.0,0.0,0.0,0.0,0.001820582586427657,1.0
