accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,row_cap,post_determinism_fix
0.9968231327800829,0.9950418122842328,0.9954029187721349,0.9968219731512419,0.9982492705293873,0.9918343540390785,0.9976670554907515,0.008165645960921552,0.0017507294706127553,0.9993979458973076,0.9997571576248405,GradientBoosting,classical_tree,14.744372367858887,1.3210250381612184e-06,18.695099,1,test,ToN-IoT-Network,100000,True
0.9982494813278008,0.9971043028402886,0.9974669144254622,0.9982488423486434,0.9991663192997082,0.9950422863808691,0.9985835694050992,0.004957713619130942,0.0008336807002917883,0.9999858743515057,0.9999959590873395,HistGradientBoosting,classical_tree,3.434770345687866,4.86281773856072e-06,56.693364,1,test,ToN-IoT-Network,100000,True
0.9983791493775933,0.9972918019817483,0.9976545503939465,0.9983785577302254,0.9992496873697374,0.9953339165937591,0.9986668888518581,0.004666083406240887,0.0007503126302626094,0.99995954375371,0.999988308061261,XGBoost,classical_tree,0.4189586639404297,2.95349052832829e-07,0.566398,1,test,ToN-IoT-Network,100000,True
0.9989626556016598,0.9985000068683231,0.9985000068683231,0.9989626556016598,0.9993330554397666,0.9976669582968796,0.9993330554397666,0.0023330417031204435,0.0006669445602334305,0.9999821545163601,0.9999948416213753,LightGBM,classical_tree,0.4853060245513916,8.085271134910742e-07,4.142825,1,test,ToN-IoT-Network,100000,True
0.9978604771784232,0.9967500675587706,0.9969052972324806,0.9978601427706932,0.9987494789495623,0.994750656167979,0.9984997499583264,0.005249343832020997,0.0012505210504376823,0.999921445834277,0.9999759859216717,CatBoost,classical_tree,10.086918354034424,7.675952931162728e-07,0.846564,1,test,ToN-IoT-Network,100000,True
0.7604280323126358,0.860969030212754,0.5111083697257266,0.843510122846398,0.7553689003753615,0.9665691600501463,0.9989150041365468,0.03343083994985374,0.24463109962463847,0.9689329392816989,0.9982948576715437,LogisticRegression,classical_tree,4.990715265274048,1.561048743276119e-07,41.707152,1,test,CICIoT2023,100000,True
0.9854152694221163,0.7921786574039109,0.825944387188448,0.984566399088334,0.9951387606916497,0.5892185541161722,0.9899709228179361,0.4107814458838278,0.004861239308350256,0.9896538860115707,0.9995532688208417,LinearSVM,classical_tree,22.857316493988037,3.6387239774892366e-07,42.899076,1,test,CICIoT2023,100000,True
0.9529624921170382,0.9742735280494788,0.739530123819963,0.9640152819073202,0.9518901400939429,0.9966569160050146,0.9999138144640876,0.003343083994985374,0.04810985990605706,0.984540452251488,0.9994263117205808,GaussianNB,classical_tree,0.1109156608581543,1.4719475587579784e-06,74.3296,1,test,CICIoT2023,100000,True
0.986426290553459,0.8899162625276827,0.8643534044527693,0.9868694003553841,0.9912825877381904,0.788549937317175,0.9947922027129948,0.2114500626828249,0.00871741226180953,0.9817510431858817,0.9992136562726405,kNN,classical_tree,0.04774737358093262,3.6437203167453764e-05,99.947475,1,test,CICIoT2023,100000,True
0.9921220432636964,0.9880155713670269,0.9263642574850157,0.9926159023175191,0.9923286772096076,0.9837024655244463,0.9995970949512898,0.0162975344755537,0.0076713227903923865,0.9904079064934201,0.9995378368998353,DecisionTree,classical_tree,0.6272976398468018,2.26108515627395e-07,24.906755,1,test,CICIoT2023,100000,True
0.9932231553869408,0.984910971737087,0.9349763270332714,0.9935699873738589,0.9936414169384448,0.9761805265357292,0.9994120256233044,0.02381947346427079,0.006358583061555186,0.9989709977794803,0.9999748922310014,RandomForest,classical_tree,3.2856523990631104,3.139837056502507e-06,302.928492,1,test,CICIoT2023,100000,True
0.9890189090981891,0.9902984079439336,0.903299013998816,0.9899822280690154,0.9889545258753307,0.9916422900125366,0.9997926365229293,0.008357709987463435,0.011045474124669252,0.9986684544379706,0.9999675208320665,ExtraTrees,classical_tree,2.300679922103882,3.7508438828697943e-06,248.219292,1,test,CICIoT2023,100000,True
0.9964263906545611,0.971673411609314,0.9625288199240205,0.9964609960300859,0.9976719381371403,0.9456748850814877,0.9986654210596557,0.05432511491851233,0.0023280618628597214,0.9994753438255312,0.9999871688920849,GradientBoosting,classical_tree,47.56983280181885,7.100119080170875e-06,28.972854,1,test,CICIoT2023,100000,True
0.9960460064665312,0.959045845338445,0.9578327671250415,0.9960512301480395,0.9979078210571657,0.9201838696197242,0.9980408849866145,0.07981613038027581,0.0020921789428342873,0.9994033733704721,0.9999853995840366,HistGradientBoosting,classical_tree,39.78171372413635,1.1758043760795083e-06,91.415819,1,test,CICIoT2023,100000,True
0.9957757334908257,0.957888318019565,0.9551055564682673,0.9957885654935043,0.9976821939162718,0.9180944421228583,0.9979892486355616,0.08190555787714167,0.002317806083728181,0.9993282421811427,0.9999835633121381,XGBoost,classical_tree,0.689568281173706,2.3217285670685596e-07,1.612856,1,test,CICIoT2023,100000,True
0.9955354908457542,0.9838535507654509,0.9550948483249053,0.9956677292683934,0.9961233154882776,0.9715837860426243,0.9993003827317997,0.028416213957375678,0.0038766845117223555,0.9992639710604798,0.9999817752451012,LightGBM,classical_tree,0.6541895866394043,3.502544795279854e-07,4.906103,1,test,CICIoT2023,100000,True
